spine,title,year,director,boxset,movie_id,tmdb_id,runtime_min,genre,country,language,popularity,vote_average,vote_count
1306,Point Blank,1967,John Boorman,Standalone,point-blank-1967,26039,91,"Crime, Thriller, Drama",United States of America,en,1.5718,7.027,423
1305,The Blade,1995,Tsui Hark,Standalone,the-blade-1995,42845,106,Action,Hong Kong,cn,4.105,7.043,116
1304,A Man and a Woman,1966,Claude Lelouch,Standalone,a-man-and-a-woman-1966,42726,102,"Drama, Romance",France,fr,1.621,7.3,305
1303,Testament,1983,Lynne Littman,Standalone,testament-1983,21259,90,"Drama, Science Fiction",United States of America,en,4.9904,6.4,133
1302,Killers of the Flower Moon,2023,Martin Scorsese,Standalone,killers-of-the-flower-moon-2023,466420,206,"Crime, History, Drama",United States of America,en,8.7577,7.4,4038
1301,The Man Who Wasn't There,2001,Joel Coen,Standalone,the-man-who-wasnt-there-2001,10778,116,"Crime, Drama","United Kingdom, United States of America",en,3.455,7.509,1726
1300,Network,1976,Sidney Lumet,Standalone,network-1976,10774,122,Drama,United States of America,en,4.442,7.81,1977
1299,Kiss of the Spider Woman,1985,Héctor Babenco,Standalone,kiss-of-the-spider-woman-1985,11703,120,Drama,"Brazil, United States of America",en,2.2471,6.982,335
1298,Birth,2004,Jonathan Glazer,Standalone,birth-2004,10740,100,"Drama, Mystery","Germany, United Kingdom, United States of America",en,3.0326,6.043,742
1297,Captain Blood,1935,Michael Curtiz,Standalone,captain-blood-1935,16905,119,"Adventure, History, Romance",United States of America,en,1.5821,7.208,260
